what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wb.core.lib,1.2.0.r36x201112290923,"org.eclipse.wb.core.lib",1335867244814
os,sysinfo,,,"win32",1335867244819
arch,sysinfo,,,"x86_64",1335867244819
ws,sysinfo,,,"win32",1335867244819
locale,sysinfo,,,"pl_PL",1335867244819
processors,sysinfo,,,"4",1335867244819
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1335867244819
java.runtime.version,sysinfo,,,"1.7.0_01-b08",1335867244819
java.specification.name,sysinfo,,,"Java Platform API Specification",1335867244819
java.specification.vendor,sysinfo,,,"Oracle Corporation",1335867244819
java.specification.version,sysinfo,,,"1.7",1335867244819
java.vendor,sysinfo,,,"Oracle Corporation",1335867244819
java.version,sysinfo,,,"1.7.0_01",1335867244819
java.vm.info,sysinfo,,,"mixed mode",1335867244819
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1335867244819
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1335867244819
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1335867244819
java.vm.specification.version,sysinfo,,,"1.7",1335867244819
java.vm.vendor,sysinfo,,,"Oracle Corporation",1335867244819
java.vm.version,sysinfo,,,"21.1-b02",1335867244819
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1335867244889
started,bundle,com.google.gdt.eclipse.designer.UiBinder,2.5.0.r36x201112291029,"com.google.gdt.eclipse.designer.UiBinder",1335867244921
started,bundle,com.google.gdt.eclipse.mobile.android,2.5.2.v201203300216-rel-r36,"com.google.gdt.eclipse.mobile.android",1335867244938
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335867249719
started,bundle,org.eclipse.wb.os,1.2.0.r36x201112290923,"org.eclipse.wb.os",1335867250689
started,bundle,org.eclipse.wb.os.win32,1.2.0.r36x201112290923,"org.eclipse.wb.os.win32",1335867250694
started,bundle,com.google.appengine.eclipse.core,2.5.2.v201203300216-rel-r36,"com.google.appengine.eclipse.core",1335867262178
started,bundle,com.google.gdt.eclipse.platform.shared,2.5.2.v201203300216-rel-r36,"com.google.gdt.eclipse.platform.shared",1335867262318
started,bundle,com.google.gdt.eclipse.platform.e36,2.5.2.v201203300216-rel-r36,"com.google.gdt.eclipse.platform.e36",1335867262319
started,bundle,com.google.gwt.eclipse.core,2.5.2.v201203300216-rel-r36,"com.google.gwt.eclipse.core",1335867262583
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335867267097
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.newWizard",1335867267113
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335867268019
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335867269435
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335867269693
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1335867270148
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1335867270155
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1335867270332
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1335867270332
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1335867270333
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1335867270333
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1335867270333
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1335867270333
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1335867270333
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1335867270334
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1335867270334
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.1.v201004090942,"org.eclipse.datatools.connectivity.oda.template.ui",1335867270334
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1335867270334
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1335867270334
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20100601,"org.eclipse.pde.runtime",1335867270334
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20100504,"org.eclipse.pde.ua.ui",1335867270334
stopped,bundle,org.eclipse.pde.ui.templates,3.4.200.v20100601,"org.eclipse.pde.ui.templates",1335867270334
stopped,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1335867270334
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1335867270335
stopped,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1335867270335
stopped,bundle,org.eclipse.compare.win32,1.0.101.R36x_v20101103-0618,"org.eclipse.compare.win32",1335867270335
stopped,bundle,com.google.appengine.eclipse.datatools,2.5.2.v201203300216-rel-r36,"com.google.appengine.eclipse.datatools",1335867270335
stopped,bundle,com.google.appengine.eclipse.sdkbundle,1.6.4.v201203300216r36,"com.google.appengine.eclipse.sdkbundle",1335867270335
stopped,bundle,com.google.gdt.eclipse.mobile.android,2.5.2.v201203300216-rel-r36,"com.google.gdt.eclipse.mobile.android",1335867270341
stopped,bundle,com.google.gdt.eclipse.appengine.rpc,2.5.2.v201203300216-rel-r36,"com.google.gdt.eclipse.appengine.rpc",1335867270342
stopped,bundle,com.google.gdt.eclipse.gph.e36,2.5.2.v201203300216-rel-r36,"com.google.gdt.eclipse.gph.e36",1335867270342
stopped,bundle,com.google.gdt.eclipse.gph.hge,2.5.2.v201203300216-rel-r36,"com.google.gdt.eclipse.gph.hge",1335867270342
stopped,bundle,com.google.gdt.eclipse.gph.subclipse,2.5.2.v201203300216-rel-r36,"com.google.gdt.eclipse.gph.subclipse",1335867270342
stopped,bundle,com.google.gdt.eclipse.gph.subversive,2.5.2.v201203300216-rel-r36,"com.google.gdt.eclipse.gph.subversive",1335867270342
stopped,bundle,com.google.gdt.eclipse.suite.ext,2.5.2.v201203300216-rel-r36,"com.google.gdt.eclipse.suite.ext",1335867270344
stopped,bundle,com.google.gdt.eclipse.gph,2.5.2.v201203300216-rel-r36,"com.google.gdt.eclipse.gph",1335867270345
stopped,bundle,com.google.gdt.eclipse.maven.e35,2.5.2.v201203300216-rel-r36,"com.google.gdt.eclipse.maven.e35",1335867270345
stopped,bundle,com.google.gdt.eclipse.maven,2.5.2.v201203300216-rel-r36,"com.google.gdt.eclipse.maven",1335867270345
stopped,bundle,com.google.gdt.eclipse.suite,2.5.2.v201203300216-rel-r36,"com.google.gdt.eclipse.suite",1335867270345
